ID,Username,Isi Thread,teks_bersih,label,prediksi_cv
17,wolandgarro,"1/ Konflik kepentingan di DJP & KPP udah di level memprihatinkan. Temen gua eks KPP cerita: banyak petugas pajak yang… istrinya ternyata konsultan pajak. Kebayang gak? Di satu sisi dia punya power, di sisi lain istrinya main di bisnis yang bisa “ngurusin” WP. Dia tau titik lemah di mana, tau cara mainin, dan tau gimana deal. Polanya? Mereka nembak angka asal2an. WP ditekan, lalu ujungnya “ketemu di tengah” dgnn kontribusi. Mereka nyaman menekan semua orang karena sistemnya ngasih ruang buat itu.",konflik penting djp kpp level prihatin temen eks kpp cerita tugas pajak istri nyata konsultan pajak bayang tidak_satu sisi power sisi istri main bisnis ngurusin wajib pajak tau titik lemah tau cara mainin tau deal pola nembak angka asal wajib pajak tekan lalu ujung ketemu tengah dgnn kontribusi nyaman tekan sistem ngasih ruang,negatif,netral
18,lesssummernotes,"Djp adalah institusi pengawasan kepatuhan perpajakan. Ada institusi lain yang mengelola penerimaan negara. DJPONLINE adalah aplikasi yg digunakan DJP utk 2024 dan sebelumnya. Coretax, aplikasi terintegrasi yg digunakan DJP sejak 2025.",djp institusi awas patuh paja institusi kelola terima negara djponline aplikasi guna djp belum coretax aplikasi integrasi guna djp sejak,netral,negatif
19,unaisatuzzahro,"Dulu, suami adalah pegawai Kemen*** D*P dengan THP 2 digit. Setelah 14 tahun, akhirnya memutuskan untuk mengundurkan diri dengan hormat setelah maju mundur, beberapa kali mengambil cuti. Waktu itu, rumah masih ngontrak dan ada tabungan yang hanya cukup buat DP rumah di daerah tangsel. Sudah 5 tahun berlalu...",dulu suami pegawai kemen thp digit tahun akhir putus undur diri hormat maju mundur beberapa kali ambil cuti rumah ngontrak tabung cukup rumah daerah tangsel tahun lalu,netral,netral
20,by_marhentin.ika,"22 tahun yg lalu resmi penempatan di DJP, di KPP Tamansari Dua, sbg pelaksana di Seksi PPh Badan. Lokasi kantornya masih di ruko2 di Jln Gajah Mada, Jakarta Barat. Sekarang KPPnya sudah dilikuidasi, hanya tertinggal KPP Jakarta Tamansari. 22 tahun terlewati, udah ketemu ribuan wajib pajak dan ngalamin ribuan cerita. Pernah dimaki-maki sampe nangis, pernah juga dibawain es jeruk setermos gede sama wajib pajak pas piket SPT Tahunan, sampe dijodohin sama anaknya wajib pajak juga pernah😁",tahun lalu resmi tempat djp kpp tamansari sbg laksana seksi pph badan lokasi kantor ruko jln gajah mada jakarta barat sekarang kppnya likuidasi tinggal kpp jakarta tamansari tahun lewat ketemu ribu wajib pajak ngalamin ribu cerita pernah maki maki sampe nang pernah dibawain jeruk termos besar sama wajib pajak pas piket spt tahun sampe dijodohin sama anak wajib pajak pernah,positif,netral
21,shesarhikmainsana,Baru resign dari DJP setelah masa kerja 17th. Enaknya kerja apaan ya? Ada sih usaha. Tp masih banyak waktu luangnya. Need advice dong? Ga bisa diem soalnya.,baru resign djp masa kerja tahun enak kerja apa usaha luang need advice tidak_diem soal,netral,netral
22,silvesteralan_,"Rame nih algoritma nunjukin utas tentang PKN STAN, PNS Kemenkeu, dan Resign. Pas banget saya Lulus STAN 2018, Jadi PNS Kemenkeu 2019 penempatan kantor pusat, resign 2024. Banyak hal yang bisa dishare, yang selam ini cuma diomongin ke org terdekat aja, dan kebetulan circle saya juga ex pns kemenkeu juga rata2",rame algoritma nunjukin utas pkn stan pns kemenkeu resign pas lulus stan pns kemenkeu tempat kantor pusat resign dishare selam cuma diomongin dekat betul circle pns kemenkeu rata,netral,positif
23,fitraharis.batupahat,Ternyata di thread ini lumayan banyak cerita tentang DJP dan seputarnya ya. Saya juga alumni DJP yang resign 2023 lalu. Pengen cerita sedikit tapi ini malam ganjil. Kalo agak rame insyaa Allah besok siang kita cerita ya. Saya janji yang diceritain tentang pegawai yang baik2 aja,nyata thread lumayan cerita djp putar alumni djp resign lalu ken cerita sedikit malam ganjil rame insyaa allah besok siang cerita janji diceritain pegawai baik,positif,netral
24,ilhaamrmdn,"Lagi ramai bahas STAN, jadi pengen sedikit cerita kenapa akhirnya aku memutuskan resign setelah 3 tahun kerja, padahal sudah di 'Kemensultan",ramai bahas stan ken sedikit cerita akhir putus resign tahun kerja padahal sultan,netral,netral
25,yeshafdrna,"Punya sepupu ASN di Kementerian eselon yang katanya THP paling tinggi se Indonesia. Usia 34thn udah Kepala Seksi, sering dapat penghargaan (gak pernah di post di sosmed taunya dari tante yg post di group wa keluarga 🤭), istrinya dokter spesialis minor, praktek 3 hari aja/minggu sisanya ngurus anak2. Mobil sepupuku keluaran thn 90an beli bekas, kacanya masih diputar. Mobil istrinya city car beli bekas juga. Istrinya gak pernah pake tas branded pakenya tas UMKM",sepupu asn menteri eselon kata thp paling tinggi indonesia usia tahun kepala seksi sering harga tidak_pernah post sosmed tau tante post group keluarga istri dokter spesialis minor praktek hari minggu sisa ngurus anak mobil sepupu keluar tahun beli bekas kaca putar mobil istri city car beli bekas istri tidak_pernah pake tas branded pakenya tas umkm,positif,positif
27,ander95bnbn,"TUKIN pegawai pajak emang rata-rata gede banget ya? Di DJP, yg level pelaksana aja bisa dapat 5 juta sebulan.",tunjangan kinerja pegawai pajak rata rata besar djp level laksana juta bulan,negatif,negatif
28,benane_fashion,"SYUKURLAH BILA PURBAYA AKAN MENYEIMBANGKAN GAJI PARA ASN DISELURUH KEMENTERIAN DAN LEMBAGA2 PEMERINTAH DI RI. Sudah puluhan tahun, gaji pegawai Kementerian Keuangan secara resmi jauh lebih tinggi dari seluruh kementerian di Republik ini. Apalagi jajaran ditjen Pajak, Bea Cukai dan Perbendaharaan Negara. Alasannya supaya mereka bisa lebih jujur! Bullshit!",syukur bila purbaya imbang gaji asn seluruh menteri lembaga perintah puluh tahun gaji pegawai menteri uang resmi jauh tinggi seluruh menteri republik jajar ditjen pajak bea cukai bendahara negara alas jujur bullshit,negatif,negatif
29,meeyaardouli,"Hampir mustahil sih…. Gaji pegawai djp tinggi itu tujuannya mencegah brain drain supaya pegawainya ngga pada kabur jadi konsultan, pindah jadi tax manager persh swasta, atau pindah ke pemda yg ga terancam mutasi nasional rutin tiap 2-3 tahun sekali. Kalau ga ada benefit sama sekali dibanding bebannya (termasuk beban hujatan dan doa masuk neraka dri netijen), yakin byk yg resign/pindah pemda, terutama yg pinter2. Risiko ke pengamanan penerimaan negara kalo mereka berbalik mengamankan laba pershn",hampir mustahil gaji pegawai djp tinggi tuju cegah brain drain pegawai tidak_kabur konsultan pindah tax manager persh swasta pindah pemda tidak_terancam mutasi nasional rutin tiap tahun sekali tidak_benefit sama sekali banding beban masuk beban hujat doa masuk neraka netijen yakin resign pindah pemda utama pinter risiko aman terima negara balik aman laba pershn,positif,negatif
30,by_marhentin.ika,"Beberapa hari ini dapet DM dr temen2 internal DJP karena postingan saya seputar edukasi pajak muncul di akun mereka. Rata2 menyemangati karena memang ngga banyak pegawai DJP yg nekat muncul di medsos, kenalan bahwa mereka kerja di DJP. Ada 1 DM yg langsung tanya “bu ngga takut kena hujatan di medsos?”",beberapa hari dapet temen internal djp postingan putar edukasi pajak muncul akun rata semangat tidak_pegawai djp nekat muncul medsos kenal kerja djp langsung tanya tidak_takut kena hujat medsos,positif,netral
31,widhingrh,"pertama mau disclaimer no offense yak itu yg kerja di DJP mau sebagai AR atau apalah, kan mereka punya KPI atau target untuk pemasukan ke negara, kurang lebih seperti sales gak sih ? kan sama” harus ada pemasuk untuk perusahaan, bedanya ya sales jual produk/jasa, DJP jual kesalahan WP 😭🙏🏻 (soalnya tiap tahun tuh keluarin surat cinta mulu, minta klarifikasi data)",pertama mau disclaimer offense yak kerja djp mau account representative apa kpi target pasu negara kurang_sales tidak_sama masuk usaha beda sales jual produk jasa djp jual salah wajib pajak soal tiap tahun keluarin surat cinta mulu minta klarifikasi data,negatif,netral
32,pegawhy_negeri_swasta,"Ga sepakat...asumsi saya, Dimana2 djp lebih tinggi thp nya dibanding 80 - 90 persen pemda seindonesia",tidak_sepakat asumsi djp tinggi thp banding persen pemda indonesia,negatif,positif
33,ekkyarnindi,"Saya kerja di instansi pemda, suami di DJP. Belanja pegawai setahun di instansi saya 3,6 miliar untuk 39 pegawai. Suami saya waktu itu masih AR yang punya tim kerja 5-6 orang dengan target pemasukan ke negara lebih 5 miliar selama setahun. Itu artinya gaji 39 orang pegawai di satu instansi pemda itu dibackup dengan kinerja tidak lebih dari 5 orang pegawai DJP. Itu artinya wajar THP mereka lebih tinggi dari instansi lain.",kerja instansi pemda suami djp belanja pegawai tahun instansi miliar pegawai suami account representative tim kerja target pasu negara miliar lama tahun arti gaji pegawai satu instansi pemda dibackup kinerja tidak_pegawai djp arti wajar thp tinggi instansi,positif,negatif
34,cremona_97,Oo namanya imbalan prestasi kinerja (IPK) di djp... Bukan avanza baru tp kl seken dapet lah,nama imbal prestasi kinerja ipk djp bukan_avanza baru ken dapet,negatif,negatif
35,syifaahmgold,"Saya di KOMCAD kan lalu di tekan ini itu kak, dari kementerian yg katanya sultan. Tes kesehatan KOMCAD penuh ma-ni-pu-la-si, daripada saya mati kaya yg udh ada...Lalu saya memilih resign sekalian",komcad lalu tekan kak menteri kata sultan tes sehat komcad penuh mati kaya lalu pilih resign sekali,negatif,negatif
36,zeinelarham,"Setau saya ASN Kemenkeu DJP paling ramah Ibu dan Anak, seperti ada : ruang Laktasi, kemudahan izin jika anak sakit, ada ruang bermain jika izin bawa anak ke kantor. Jadi ASN yang pas buat perempuan, sepertinya Kemenkeu. Buat perempuan ASN yang di Kemenkeu DJP, jangan resign karena ramah ibu dan anak. entah kalo ASN kementerian lain.",tau asn kemenkeu djp paling ramah ibu anak ruang laktasi mudah izin anak sakit ruang main izin bawa anak kantor asn pas perempuan seperti kemenkeu perempuan asn kemenkeu djp jangan_resign ramah ibu anak entah asn menteri,positif,negatif
37,pajaksmart,Laporan Kinerja DJP 2025 Larangan Merekam Gak Dibahas niih ??,lapor kinerja djp larang rekam tidak_dibahas niih,negatif,negatif
38,accelerationtax,"Perspektif Internal DJP: Trigger Undangan bagi Wajib Pajak Orang Pribadi. Tahun lalu, tim kami sempat berdiskusi santai dengan salah satu mantan pegawai DJP. Banyak cerita yang kami dapatkan dari perspektif internal, salah satunya adalah trigger dasar mereka untuk mengundang Wajib Pajak melalui SP2DK, Helicopter View yang menjadi dasar analisis dari suatu grup perusahaan atau perusahaan afiliasi, dan masih banyak lagi.",perspektif internal djp trigger undang wajib pajak pribadi tahun lalu tim sempat diskus santai salah satu mantan pegawai djp cerita dapat perspektif internal salah satu trigger dasar undang wajib pajak lalu helicopter view jadi dasar analisis suatu grup usaha usaha afiliasi,netral,netral
39,resletingkolor,"Tiap ketemu WP, ""sy ikhlas bayar kalau uangnya ga dikorupsi"". Saya jg setuju Pak.....",tiap ketemu wajib pajak ikhlas bayar uang tidak_dikorupsi tuju pak,negatif,negatif
40,by_marhentin.ika,"Waah smoga makin bersinar diluar DJP ya kak, makin sukses dan berkah juga usahanya, aamiin. Memang yg bikin deg2an di DJP adalah ketidakpastian waktu & tempat mutasi, LDRan, dan ongkos tambahan yg harus ditanggung karena berjauhan dg kluarga. Saya 3,5 thn LDRan pas penempatan di Batam, alhamdulillah disupport full sama suami jadi bisa seminggu sekali pulang ke Jkt demi ketemu kluarga. Tapi ngga banyak temen2 DJP yg seberuntung saya 😰",waah smoga makin sinar luar djp kak makin sukses berkah usaha aamiin bikin deg djp ketidakpastian tempat mutasi ldran ongkos tambah tanggung jauh kluarga tahun ldran pas tempat batam alhamdulillah disupport full sama suami minggu sekali pulang jkt ketemu kluarga tidak_temen djp untung,positif,negatif
41,triekayu,"Utas kali ini aku mau share tentang perjalanan resign. Untuk para ibu bekerja khususnya PNS yang dalam fase galau ingin resign mungkin cerita ini bisa sedikit memberi insight. Aku ex PNS di DJP, dulu memilih resign dengan jalur cuti diluar tanggungan negara (CTLN) selama 3 tahun pada tahun 2020 dengan alasan ikut suami (kondisi kami LDR).",utas kali mau share jalan resign ibu kerja khusus pns fase galau resign mungkin cerita sedikit beri insight pns djp dulu pilih resign jalur cuti luar tanggung negara ctln lama tahun tahun alas ikut suami kondisi ldr,netral,netral
42,meeyaardouli,"Cerita dari pegawai kpp tempat kampus gw kerjasama (magang+tax center), banyak kok pegawai djp yang berminat pindah ke pemda…. Saking banyaknya, sampai sempat beberapa tahun kemarin kena moratorium, permohonan pindahnya ditolak semua….",cerita pegawai kpp tempat kampus kerjasama magang tax center pegawai djp minat pindah pemda saking banyak sempat beberapa tahun kemarin kena moratorium mohon pindah tolak,negatif,positif
43,,"Seprtinya bagi mereka mutasi nasional rutin itu berat, apalagi kos+ongkos mudik ga ditanggung samsek+kalo ada pilihan jadi konsultan sepertinya logis milih resign/pindah pemda…",seprtinya mutasi nasional rutin berat kos ongkos mudik tidak_ditanggung samsek pilih konsultan seperti logis milih resign pindah pemda,negatif,positif
44,ryangadiza,"Mutasi ribuan pegawai DJP, menurut kalian ini strategi perbaikan sistem atau cuma rotasi biasa?",mutasi ribu pegawai djp kalian strategi baik sistem cuma rotasi biasa,netral,netral
45,lian.ardi,saya lebih percaya ada kucing diangkat jadi presiden dari pada percaya pegawai pajak 100% bersih,percaya kucing angkat presiden percaya pegawai pajak bersih,negatif,negatif
46,irwandiferry,"Kalau kualitas, DJP itu diisi orang-orang brilian dan pinter, terlebih generasi mudanya.gue cuma bilang kalau kalian menghadapi masalah pajak dan kesal dengan itu, hate the game not the player terlebih untuk level pelaksana. mereka punya kemarahan dan kekesalan yang sama, bedanya mereka tidak bisa mengekspresikan itu seluas-luasnya. Ini juga sama untuk PNS instansi lainnya",kualitas djp isi brilian pinter lebih generasi muda cuma bilang kalian hadap masalah pajak kesal hate the game not the player lebih level laksana marah kesal sama beda tidak_mengekspresikan luas luas sama pns instansi lain,positif,positif
47,aspexsia,"itulah salah satu alasan saya resign dr DJP, di samping ada alasan lain yg jauh lebih fundamental..bos² carmuk sendiri? udah biasa... mereka cuci tangan? udah biasa juga..",salah satu alas resign djp samping alas jauh fundamental bos carmuk sendiri biasa cuci tangan biasa,negatif,netral
48,inirithma,"Yang paling gua gak terima adalah tentang pembahasan internal mereka yang gak mau mengakui bahwa coretax ini belum siap, malah menyatakan kalau penggunanya yang gak siap pakai. Jelas banget ini belum siap malah lempar batu ke pengguna which is rakyat yang bayar pajak.",paling tidak_terima bahas internal tidak_mau aku coretax belum_siap malah nyata guna tidak_siap pakai jelas belum_siap malah lempar batu guna which rakyat bayar pajak,negatif,negatif
49,edwinhartono77,"Emang bener, personel KPP mengeluh dimana mereka menerima amarah, protes dll dari pembayar pajak tapi tidak bisa berbuat apa,. Semua dipegang kantor pusat dan tidak boleh protes.",benar personel kpp keluh terima amarah protes bayar pajak tidak_berbuat pegang kantor pusat tidak_protes,negatif,negatif
50,pajaksmart,Mirisss Internal DJP Berkabung 🥹😵‍💫,miris internal djp kabung,negatif,netral
51,peaceanloovve,Fyi aja nih bang 1. Tukin djp dari 2015 blm ada kenaikan 2. AR gaada yang lulusan dari sma karena minimal d3,fyi bang tunjangan kinerja djp belum_kenaikan account representative tidak_lulusan sma minimal,netral,negatif
52,prastowoyustinus,"Beberapa hari ini rame diskusi soal STAN dan resign dari PNS. Saya juga alumnus STAN, pernah bekerja di birokrasi yaitu DJP, dan resign 2010. Kuliah di STAN memang bukan pilihan utama, tapi realistis untuk orang kampung seperti saya, saat sdh diterima di Fakultas Teknik UGM. Saya bersyukur dg semua yang saya jalani. Kesempatan kuliah yang luar biasa, mengabdi sebagai PNS yang memberi banyak ilmu kehidupan, hingga akhirnya memutuskan resign dan mengembangkan diri di ranah lain.",beberapa hari rame diskusi soal stan resign pns alumnus stan pernah kerja birokrasi djp resign kuliah stan bukan_pilihan utama realistis kampung terima fakultas teknik ugm syukur jalan sempat kuliah luar biasa abdi pns beri ilmu hidup akhir putus resign kembang diri ranah,positif,netral
53,salman__mahmudi,"Malam ini ngerenung sendiri, bersyukur banget bisa kerja di DJP instansi yg ga ada korupsinya babar blas. Top markotop. Yg resign berarti pengecut kecuali ada kepentingan lain ya. No offense.",malam ngerenung sendiri syukur kerja djp instansi tidak_korupsinya babar blas top markotop resign arti kecut penting offense,negatif,netral
54,narulita.ardiyanti,Saya resign dr 2019 dan saya bukan pengecut Sebaiknya lebih bijak saja. Kalau mu bersyukur ya bersyukur saja tidak usah ditambah hal2 yg tidak perlu,resign bukan_pengecut baik bijak syukur syukur tidak_usah tambah tidak_perlu,netral,negatif
